battery_power	blue	clock_speed	dual_sim	fc	four_g	int_memory	m_dep	mobile_wt	n_cores	pc	px_height	px_width	ram	sc_h	sc_w	talk_time	three_g	touch_screen	wifi	price_range
594,0,0.8,0,2,1,28,0.1,132,5,3,1011,1263,3087,16,4,4,1,1,1,2
1524,0,2.6,1,5,0,57,0.5,124,2,12,629,635,947,11,4,16,0,1,1,0
511,1,0.6,1,12,0,50,0.1,175,3,16,140,622,1484,9,7,8,1,0,0,0
1402,1,0.6,1,3,0,46,0.3,87,7,12,1081,1767,347,17,0,12,1,0,1,0
965,1,0.5,0,15,0,53,1.0,131,8,19,297,653,3227,12,6,8,1,0,0,2
1270,1,2.3,0,0,0,58,0.5,104,5,1,1512,1716,3299,13,4,16,0,0,1,3
919,0,0.5,1,11,0,13,0.3,159,1,15,275,570,1028,8,4,17,1,0,0,0
1963,1,1.0,0,16,1,34,0.1,157,2,17,1136,1813,714,18,2,2,1,0,1,1
1977,0,1.3,1,2,0,31,0.4,173,8,6,1145,1356,2641,8,2,7,0,0,0,3
1881,0,2.2,0,4,0,51,0.3,158,5,7,477,1553,1229,12,0,14,1,0,0,1
683,0,0.7,0,5,0,19,0.9,173,4,17,954,1985,2622,16,3,5,0,0,1,2
772,0,2.6,1,7,0,6,0.1,100,2,10,741,1471,929,13,6,18,0,1,1,0
536,1,1.4,0,0,1,53,0.7,135,3,0,547,705,1211,15,10,7,1,0,1,0
1694,0,1.8,0,0,0,53,1.0,186,6,0,1194,1208,1653,7,5,6,1,0,0,2
1633,0,1.7,1,3,1,33,0.9,111,2,19,146,906,511,9,0,7,1,1,0,0
1371,0,0.5,0,4,0,52,0.5,167,4,19,471,663,3034,13,6,8,0,0,0,2
551,1,2.8,0,0,1,54,0.1,172,7,15,169,1916,1414,6,1,19,1,0,1,0
1221,0,0.5,0,1,1,28,0.5,139,1,7,1895,1976,2438,13,11,10,1,1,1,3
1000,1,0.5,0,12,0,63,0.7,179,8,18,1537,1761,3744,11,1,7,0,0,1,3
1986,0,2.7,1,3,1,64,0.2,162,4,20,236,1520,1377,5,3,15,1,1,1,1
1119,0,0.5,1,0,1,23,0.4,164,4,1,821,915,3520,7,4,7,1,0,0,3
1699,0,0.5,1,1,0,59,0.5,97,4,3,466,1768,3796,17,10,12,0,1,1,3
1099,0,0.5,0,13,1,61,0.3,146,3,20,393,1096,1699,17,10,3,1,1,1,1
1576,0,2.6,0,7,0,58,0.2,90,3,16,400,631,336,14,8,13,1,1,1,0
950,1,0.5,0,9,0,55,0.1,156,5,10,774,843,1095,14,12,13,0,1,0,0
1081,1,2.5,1,13,0,49,1.0,99,3,17,284,519,325,9,1,6,0,0,1,0
606,0,2.5,0,1,1,53,0.2,146,4,2,465,1152,1223,19,12,7,1,0,0,0
502,0,1.5,1,7,0,37,0.2,199,2,12,705,1810,1649,6,1,14,0,1,0,1
